index,Close
0,433.0189628816677
1,435.73010859566426
2,437.2581273242817
3,437.8116090810235
4,437.4209726358436
5,437.2615071876098
6,436.37977077349507
7,434.6891689640912
8,432.7352291826178
9,430.67980609104046
